abbreviation,team_name,conference
BOS,Boston Celtics,Eastern
BKN,Brooklyn Nets,Eastern
NYK,New York Knicks,Eastern
PHI,Philadelphia 76ers,Eastern
TOR,Toronto Raptors,Eastern
CHI,Chicago Bulls,Eastern
CLE,Cleveland Cavaliers,Eastern
DET,Detroit Pistons,Eastern
IND,Indiana Pacers,Eastern
MIL,Milwaukee Bucks,Eastern
ATL,Atlanta Hawks,Eastern
CHH,Charlotte Hornets,Eastern
MIA,Miami Heat,Eastern
ORL,Orlando Magic,Eastern
WAS,Washington Wizards,Eastern
DEN,Denver Nuggets,Western
MIN,Minnesota Timberwolves,Western
OKC,Oklahoma City Thunder,Western
POR,Portland Trail Blazers,Western
UTA,Utah Jazz,Western
GSW,Golden State Warriors,Western
LAC,Los Angeles Clippers,Western
LAL,Los Angeles Lakers,Western
PHO,Phoenix Suns,Western
SAC,Sacramento Kings,Western
DAL,Dallas Mavericks,Western
HOU,Houston Rockets,Western
MEM,Memphis Grizzlies,Western
NOP,New Orleans Pelicans,Western
SAS,San Antonio Spurs,Western
